Cancer	scenario	Stage	dwell
Lymphoma	new_10	II	0.8580000000000001
Lymphoma	new_10	III	1.287
Lymphoma	new_10	IV	1.7160000000000002
Lymphoma	new_11	I	0.65
Lymphoma	new_11	II	1.3
Lymphoma	new_11	III	1.95
Lymphoma	new_11	IV	2.6
Lymphoma	new_12	I	0.9750000000000001
Lymphoma	new_12	II	1.9500000000000002
Lymphoma	new_12	III	2.925
Lymphoma	new_12	IV	3.9000000000000004
Melanoma	new_1	I	1.4520000000000002
Melanoma	new_1	II	0.7260000000000001
Melanoma	new_1	III	0.7260000000000001
Melanoma	new_1	IV	0.7260000000000001
Melanoma	new_2	I	2.2
Melanoma	new_2	II	1.1
Melanoma	new_2	III	1.1
Melanoma	new_2	IV	1.1
Melanoma	new_3	I	3.3000000000000003
Melanoma	new_3	II	1.6500000000000001
Melanoma	new_3	III	1.6500000000000001
Melanoma	new_3	IV	1.6500000000000001
Melanoma	new_4	I	0.9075000000000001
Melanoma	new_4	II	0.9075000000000001
Melanoma	new_4	III	0.9075000000000001
Melanoma	new_4	IV	0.9075000000000001
Melanoma	new_5	I	1.375
Melanoma	new_5	II	1.375
Melanoma	new_5	III	1.375
Melanoma	new_5	IV	1.375
Melanoma	new_6	I	2.0625
Melanoma	new_6	II	2.0625
Melanoma	new_6	III	2.0625
Melanoma	new_6	IV	2.0625
Melanoma	new_7	I	1.4520000000000002
Melanoma	new_7	II	1.089
Melanoma	new_7	III	0.7260000000000001
Melanoma	new_7	IV	0.36300000000000004
Melanoma	new_8	I	2.2
Melanoma	new_8	II	1.65
Melanoma	new_8	III	1.1
Melanoma	new_8	IV	0.55
Melanoma	new_9	I	3.3000000000000003
Melanoma	new_9	II	2.4749999999999996
Melanoma	new_9	III	1.6500000000000001
Melanoma	new_9	IV	0.8250000000000001
Melanoma	new_10	I	0.36300000000000004
Melanoma	new_10	II	0.7260000000000001
Melanoma	new_10	III	1.089
Melanoma	new_10	IV	1.4520000000000002
Melanoma	new_11	I	0.55
Melanoma	new_11	II	1.1
Melanoma	new_11	III	1.65
Melanoma	new_11	IV	2.2
Melanoma	new_12	I	0.8250000000000001
Melanoma	new_12	II	1.6500000000000001
Melanoma	new_12	III	2.4749999999999996
Melanoma	new_12	IV	3.3000000000000003
Myeloid Neoplasm	new_1	NotStaged	6
Myeloid Neoplasm	new_2	NotStaged	6
Myeloid Neoplasm	new_3	NotStaged	6
Myeloid Neoplasm	new_4	NotStaged	6
Myeloid Neoplasm	new_5	NotStaged	6
Myeloid Neoplasm	new_6	NotStaged	6
Myeloid Neoplasm	new_7	NotStaged	6
Myeloid Neoplasm	new_8	NotStaged	6
Myeloid Neoplasm	new_9	NotStaged	6
Myeloid Neoplasm	new_10	NotStaged	6
Myeloid Neoplasm	new_11	NotStaged	6
Myeloid Neoplasm	new_12	NotStaged	6
Ovary	new_1	I	1.1880000000000002
Ovary	new_1	II	0.5940000000000001
Ovary	new_1	III	0.5940000000000001
Ovary	new_1	IV	0.5940000000000001
Ovary	new_2	I	1.8
Ovary	new_2	II	0.9
Ovary	new_2	III	0.9
Ovary	new_2	IV	0.9
Ovary	new_3	I	2.7
Ovary	new_3	II	1.35
Ovary	new_3	III	1.35
Ovary	new_3	IV	1.35
Ovary	new_4	I	0.7425
Ovary	new_4	II	0.7425
Ovary	new_4	III	0.7425
Ovary	new_4	IV	0.7425
Ovary	new_5	I	1.125
Ovary	new_5	II	1.125
Ovary	new_5	III	1.125
Ovary	new_5	IV	1.125
Ovary	new_6	I	1.6875
Ovary	new_6	II	1.6875
Ovary	new_6	III	1.6875
Ovary	new_6	IV	1.6875
Ovary	new_7	I	1.1880000000000002
Ovary	new_7	II	0.8909999999999999
Ovary	new_7	III	0.5940000000000001
Ovary	new_7	IV	0.29700000000000004
Ovary	new_8	I	1.8
Ovary	new_8	II	1.3499999999999999
Ovary	new_8	III	0.9
Ovary	new_8	IV	0.45
Ovary	new_9	I	2.7
Ovary	new_9	II	2.025
Ovary	new_9	III	1.35
Ovary	new_9	IV	0.675
Ovary	new_10	I	0.29700000000000004
Ovary	new_10	II	0.5940000000000001
Ovary	new_10	III	0.8909999999999999
Ovary	new_10	IV	1.1880000000000002
Ovary	new_11	I	0.45
Ovary	new_11	II	0.9
Ovary	new_11	III	1.3499999999999999
Ovary	new_11	IV	1.8
Ovary	new_12	I	0.675
Ovary	new_12	II	1.35
Ovary	new_12	III	2.025
Ovary	new_12	IV	2.7
Pancreas	new_1	I	1.056
Pancreas	new_1	II	0.528
Pancreas	new_1	III	0.528
Pancreas	new_1	IV	0.528
Pancreas	new_2	I	1.6
Pancreas	new_2	II	0.8
Pancreas	new_2	III	0.8
Pancreas	new_2	IV	0.8
Pancreas	new_3	I	2.4000000000000004
Pancreas	new_3	II	1.2000000000000002
Pancreas	new_3	III	1.2000000000000002
Pancreas	new_3	IV	1.2000000000000002
Pancreas	new_4	I	0.66
Pancreas	new_4	II	0.66
Pancreas	new_4	III	0.66
Pancreas	new_4	IV	0.66
Pancreas	new_5	I	1
Pancreas	new_5	II	1
Pancreas	new_5	III	1
Pancreas	new_5	IV	1
Pancreas	new_6	I	1.5
Pancreas	new_6	II	1.5
Pancreas	new_6	III	1.5
Pancreas	new_6	IV	1.5
Pancreas	new_7	I	1.056
Pancreas	new_7	II	0.792
Pancreas	new_7	III	0.528
Pancreas	new_7	IV	0.264
Pancreas	new_8	I	1.6
Pancreas	new_8	II	1.2
Pancreas	new_8	III	0.8
Pancreas	new_8	IV	0.4
Pancreas	new_9	I	2.4000000000000004
Pancreas	new_9	II	1.7999999999999998
Pancreas	new_9	III	1.2000000000000002
Pancreas	new_9	IV	0.6000000000000001
Pancreas	new_10	I	0.264
Pancreas	new_10	II	0.528
Pancreas	new_10	III	0.792
Pancreas	new_10	IV	1.056
Pancreas	new_11	I	0.4
Pancreas	new_11	II	0.8
Pancreas	new_11	III	1.2
Pancreas	new_11	IV	1.6
Pancreas	new_12	I	0.6000000000000001
Pancreas	new_12	II	1.2000000000000002
Pancreas	new_12	III	1.7999999999999998
Pancreas	new_12	IV	2.4000000000000004
Plasma Cell Neoplasm	new_1	NotStaged	6
Plasma Cell Neoplasm	new_2	NotStaged	6
Plasma Cell Neoplasm	new_3	NotStaged	6
Plasma Cell Neoplasm	new_4	NotStaged	6
Plasma Cell Neoplasm	new_5	NotStaged	6
Plasma Cell Neoplasm	new_6	NotStaged	6
Plasma Cell Neoplasm	new_7	NotStaged	6
Plasma Cell Neoplasm	new_8	NotStaged	6
Plasma Cell Neoplasm	new_9	NotStaged	6
Plasma Cell Neoplasm	new_10	NotStaged	6
Plasma Cell Neoplasm	new_11	NotStaged	6
Plasma Cell Neoplasm	new_12	NotStaged	6
Prostate	new_1	I	2.244
Prostate	new_1	II	1.122
Prostate	new_1	III	1.122
Prostate	new_1	IV	1.122
Prostate	new_2	I	3.4000000000000004
Prostate	new_2	II	1.7000000000000002
Prostate	new_2	III	1.7000000000000002
Prostate	new_2	IV	1.7000000000000002
Prostate	new_3	I	5.1000000000000005
Prostate	new_3	II	2.5500000000000003
Prostate	new_3	III	2.5500000000000003
Prostate	new_3	IV	2.5500000000000003
Prostate	new_4	I	1.4025
Prostate	new_4	II	1.4025
Prostate	new_4	III	1.4025
Prostate	new_4	IV	1.4025
Prostate	new_5	I	2.125
Prostate	new_5	II	2.125
Prostate	new_5	III	2.125
Prostate	new_5	IV	2.125
Prostate	new_6	I	3.1875
Prostate	new_6	II	3.1875
Prostate	new_6	III	3.1875
Prostate	new_6	IV	3.1875
Prostate	new_7	I	2.244
Prostate	new_7	II	1.683
Prostate	new_7	III	1.122
Prostate	new_7	IV	0.561
Prostate	new_8	I	3.4000000000000004
Prostate	new_8	II	2.55
Prostate	new_8	III	1.7000000000000002
Prostate	new_8	IV	0.8500000000000001
Prostate	new_9	I	5.1000000000000005
Prostate	new_9	II	3.8249999999999997
Prostate	new_9	III	2.5500000000000003
Prostate	new_9	IV	1.2750000000000001
Prostate	new_10	I	0.561
Prostate	new_10	II	1.122
Prostate	new_10	III	1.683
Prostate	new_10	IV	2.244
Prostate	new_11	I	0.8500000000000001
Prostate	new_11	II	1.7000000000000002
Prostate	new_11	III	2.55
Prostate	new_11	IV	3.4000000000000004
Prostate	new_12	I	1.2750000000000001
Prostate	new_12	II	2.5500000000000003
Prostate	new_12	III	3.8249999999999997
Prostate	new_12	IV	5.1000000000000005
Sarcoma	new_1	I	1.1880000000000002
Sarcoma	new_1	II	0.5940000000000001
Sarcoma	new_1	III	0.5940000000000001
Sarcoma	new_1	IV	0.5940000000000001
Sarcoma	new_2	I	1.8
Sarcoma	new_2	II	0.9
Sarcoma	new_2	III	0.9
Sarcoma	new_2	IV	0.9
Sarcoma	new_3	I	2.7
Sarcoma	new_3	II	1.35
Sarcoma	new_3	III	1.35
Sarcoma	new_3	IV	1.35
Sarcoma	new_4	I	0.7425
Sarcoma	new_4	II	0.7425
Sarcoma	new_4	III	0.7425
Sarcoma	new_4	IV	0.7425
Sarcoma	new_5	I	1.125
Sarcoma	new_5	II	1.125
Sarcoma	new_5	III	1.125
Sarcoma	new_5	IV	1.125
Sarcoma	new_6	I	1.6875
Sarcoma	new_6	II	1.6875
Sarcoma	new_6	III	1.6875
Sarcoma	new_6	IV	1.6875
Sarcoma	new_7	I	1.1880000000000002
Sarcoma	new_7	II	0.8909999999999999
Sarcoma	new_7	III	0.5940000000000001
Sarcoma	new_7	IV	0.29700000000000004
Sarcoma	new_8	I	1.8
Sarcoma	new_8	II	1.3499999999999999
Sarcoma	new_8	III	0.9
Sarcoma	new_8	IV	0.45
Sarcoma	new_9	I	2.7
Sarcoma	new_9	II	2.025
Sarcoma	new_9	III	1.35
Sarcoma	new_9	IV	0.675
Sarcoma	new_10	I	0.29700000000000004
Sarcoma	new_10	II	0.5940000000000001
Sarcoma	new_10	III	0.8909999999999999
Sarcoma	new_10	IV	1.1880000000000002
Sarcoma	new_11	I	0.45
Sarcoma	new_11	II	0.9
Sarcoma	new_11	III	1.3499999999999999
Sarcoma	new_11	IV	1.8
Sarcoma	new_12	I	0.675
Sarcoma	new_12	II	1.35
Sarcoma	new_12	III	2.025
Sarcoma	new_12	IV	2.7
Stomach	new_1	I	1.056
Stomach	new_1	II	0.528
Stomach	new_1	III	0.528
Stomach	new_1	IV	0.528
Stomach	new_2	I	1.6
Stomach	new_2	II	0.8
Stomach	new_2	III	0.8
Stomach	new_2	IV	0.8
Stomach	new_3	I	2.4000000000000004
Stomach	new_3	II	1.2000000000000002
Stomach	new_3	III	1.2000000000000002
Stomach	new_3	IV	1.2000000000000002
Stomach	new_4	I	0.66
Stomach	new_4	II	0.66
Stomach	new_4	III	0.66
Stomach	new_4	IV	0.66
Stomach	new_5	I	1
Stomach	new_5	II	1
Stomach	new_5	III	1
Stomach	new_5	IV	1
Stomach	new_6	I	1.5
Stomach	new_6	II	1.5
Stomach	new_6	III	1.5
Stomach	new_6	IV	1.5
Stomach	new_7	I	1.056
Stomach	new_7	II	0.792
Stomach	new_7	III	0.528
Stomach	new_7	IV	0.264
Stomach	new_8	I	1.6
Stomach	new_8	II	1.2
Stomach	new_8	III	0.8
Stomach	new_8	IV	0.4
Stomach	new_9	I	2.4000000000000004
Stomach	new_9	II	1.7999999999999998
Stomach	new_9	III	1.2000000000000002
Stomach	new_9	IV	0.6000000000000001
Stomach	new_10	I	0.264
Stomach	new_10	II	0.528
Stomach	new_10	III	0.792
Stomach	new_10	IV	1.056
Stomach	new_11	I	0.4
Stomach	new_11	II	0.8
Stomach	new_11	III	1.2
Stomach	new_11	IV	1.6
Stomach	new_12	I	0.6000000000000001
Stomach	new_12	II	1.2000000000000002
Stomach	new_12	III	1.7999999999999998
Stomach	new_12	IV	2.4000000000000004
Thyroid	new_1	I	2.244
Thyroid	new_1	II	1.122
Thyroid	new_1	III	1.122
Thyroid	new_1	IV	1.122
Thyroid	new_2	I	3.4000000000000004
Thyroid	new_2	II	1.7000000000000002
Thyroid	new_2	III	1.7000000000000002
Thyroid	new_2	IV	1.7000000000000002
Thyroid	new_3	I	5.1000000000000005
Thyroid	new_3	II	2.5500000000000003
Thyroid	new_3	III	2.5500000000000003
Thyroid	new_3	IV	2.5500000000000003
Thyroid	new_4	I	1.4025
Thyroid	new_4	II	1.4025
Thyroid	new_4	III	1.4025
Thyroid	new_4	IV	1.4025
Thyroid	new_5	I	2.125
Thyroid	new_5	II	2.125
Thyroid	new_5	III	2.125
Thyroid	new_5	IV	2.125
Thyroid	new_6	I	3.1875
Thyroid	new_6	II	3.1875
Thyroid	new_6	III	3.1875
Thyroid	new_6	IV	3.1875
Thyroid	new_7	I	2.244
Thyroid	new_7	II	1.683
Thyroid	new_7	III	1.122
Thyroid	new_7	IV	0.561
Thyroid	new_8	I	3.4000000000000004
Thyroid	new_8	II	2.55
Thyroid	new_8	III	1.7000000000000002
Thyroid	new_8	IV	0.8500000000000001
Thyroid	new_9	I	5.1000000000000005
Thyroid	new_9	II	3.8249999999999997
Thyroid	new_9	III	2.5500000000000003
Thyroid	new_9	IV	1.2750000000000001
Thyroid	new_10	I	0.561
Thyroid	new_10	II	1.122
Thyroid	new_10	III	1.683
Thyroid	new_10	IV	2.244
Thyroid	new_11	I	0.8500000000000001
Thyroid	new_11	II	1.7000000000000002
Thyroid	new_11	III	2.55
Thyroid	new_11	IV	3.4000000000000004
Thyroid	new_12	I	1.2750000000000001
Thyroid	new_12	II	2.5500000000000003
Thyroid	new_12	III	3.8249999999999997
Thyroid	new_12	IV	5.1000000000000005
Urothelial Tract	new_1	I	1.1880000000000002
Urothelial Tract	new_1	II	0.5940000000000001
Urothelial Tract	new_1	III	0.5940000000000001
Urothelial Tract	new_1	IV	0.5940000000000001
Urothelial Tract	new_2	I	1.8
Urothelial Tract	new_2	II	0.9
Urothelial Tract	new_2	III	0.9
Urothelial Tract	new_2	IV	0.9
Urothelial Tract	new_3	I	2.7
Urothelial Tract	new_3	II	1.35
Urothelial Tract	new_3	III	1.35
Urothelial Tract	new_3	IV	1.35
Urothelial Tract	new_4	I	0.7425
Urothelial Tract	new_4	II	0.7425
Urothelial Tract	new_4	III	0.7425
Urothelial Tract	new_4	IV	0.7425
Urothelial Tract	new_5	I	1.125
Urothelial Tract	new_5	II	1.125
Urothelial Tract	new_5	III	1.125
Urothelial Tract	new_5	IV	1.125
Urothelial Tract	new_6	I	1.6875
Urothelial Tract	new_6	II	1.6875
Urothelial Tract	new_6	III	1.6875
Urothelial Tract	new_6	IV	1.6875
Urothelial Tract	new_7	I	1.1880000000000002
Urothelial Tract	new_7	II	0.8909999999999999
Urothelial Tract	new_7	III	0.5940000000000001
Urothelial Tract	new_7	IV	0.29700000000000004
Urothelial Tract	new_8	I	1.8
Urothelial Tract	new_8	II	1.3499999999999999
Urothelial Tract	new_8	III	0.9
Urothelial Tract	new_8	IV	0.45
Urothelial Tract	new_9	I	2.7
Urothelial Tract	new_9	II	2.025
Urothelial Tract	new_9	III	1.35
Urothelial Tract	new_9	IV	0.675
Urothelial Tract	new_10	I	0.29700000000000004
Urothelial Tract	new_10	II	0.5940000000000001
Urothelial Tract	new_10	III	0.8909999999999999
Urothelial Tract	new_10	IV	1.1880000000000002
Urothelial Tract	new_11	I	0.45
Urothelial Tract	new_11	II	0.9
Urothelial Tract	new_11	III	1.3499999999999999
Urothelial Tract	new_11	IV	1.8
Urothelial Tract	new_12	I	0.675
Urothelial Tract	new_12	II	1.35
Urothelial Tract	new_12	III	2.025
Urothelial Tract	new_12	IV	2.7
Uterus	new_1	I	1.4520000000000002
Uterus	new_1	II	0.7260000000000001
Uterus	new_1	III	0.7260000000000001
Uterus	new_1	IV	0.7260000000000001
Uterus	new_2	I	2.2
Uterus	new_2	II	1.1
Uterus	new_2	III	1.1
Uterus	new_2	IV	1.1
Uterus	new_3	I	3.3000000000000003
Uterus	new_3	II	1.6500000000000001
Uterus	new_3	III	1.6500000000000001
Uterus	new_3	IV	1.6500000000000001
Uterus	new_4	I	0.9075000000000001
Uterus	new_4	II	0.9075000000000001
Uterus	new_4	III	0.9075000000000001
Uterus	new_4	IV	0.9075000000000001
Uterus	new_5	I	1.375
Uterus	new_5	II	1.375
Uterus	new_5	III	1.375
Uterus	new_5	IV	1.375
Uterus	new_6	I	2.0625
Uterus	new_6	II	2.0625
Uterus	new_6	III	2.0625
Uterus	new_6	IV	2.0625
Uterus	new_7	I	1.4520000000000002
Uterus	new_7	II	1.089
Uterus	new_7	III	0.7260000000000001
Uterus	new_7	IV	0.36300000000000004
Uterus	new_8	I	2.2
Uterus	new_8	II	1.65
Uterus	new_8	III	1.1
Uterus	new_8	IV	0.55
Uterus	new_9	I	3.3000000000000003
Uterus	new_9	II	2.4749999999999996
Uterus	new_9	III	1.6500000000000001
Uterus	new_9	IV	0.8250000000000001
Uterus	new_10	I	0.36300000000000004
Uterus	new_10	II	0.7260000000000001
Uterus	new_10	III	1.089
Uterus	new_10	IV	1.4520000000000002
Uterus	new_11	I	0.55
Uterus	new_11	II	1.1
Uterus	new_11	III	1.65
Uterus	new_11	IV	2.2
Uterus	new_12	I	0.8250000000000001
Uterus	new_12	II	1.6500000000000001
Uterus	new_12	III	2.4749999999999996
Uterus	new_12	IV	3.3000000000000003
